,Month,Week,TemperatureRank,Bike_out,Customer,Daily,Subscriber,Unknown
1,Jul,1,0,0,0,0,0,0
2,Jul,1,1,0,0,0,0,0
3,Jul,1,2,10.11666667,6.103333333,0.003333333,3.463333333,0.546666667
4,Jul,1,3,9.2096,5.9984,0.0112,2.8024,0.3976
5,Jul,2,0,0,0,0,0,0
6,Jul,2,1,0,0,0,0,0
7,Jul,2,2,10.11666667,6.103333333,0.003333333,3.463333333,0.546666667
8,Jul,2,3,9.2096,5.9984,0.0112,2.8024,0.3976
9,Jul,3,0,0,0,0,0,0
10,Jul,3,1,0,0,0,0,0
11,Jul,3,2,10.11666667,6.103333333,0.003333333,3.463333333,0.546666667
12,Jul,3,3,9.2096,5.9984,0.0112,2.8024,0.3976
13,Jul,4,0,0,0,0,0,0
14,Jul,4,1,0,0,0,0,0
15,Jul,4,2,10.11666667,6.103333333,0.003333333,3.463333333,0.546666667
16,Jul,4,3,9.2096,5.9984,0.0112,2.8024,0.3976
17,Jul,5,0,0,0,0,0,0
18,Jul,5,1,0,0,0,0,0
19,Jul,5,2,10.11666667,6.103333333,0.003333333,3.463333333,0.546666667
20,Jul,5,3,9.2096,5.9984,0.0112,2.8024,0.3976
21,Aug,6,0,0,0,0,0,0
22,Aug,6,1,0,0,0,0,0
23,Aug,6,2,8.945,4.9475,0.015,3.73,0.2525
24,Aug,6,3,9.186086957,5.889565217,0.010434783,2.977391304,0.308695652
25,Aug,7,0,0,0,0,0,0
26,Aug,7,1,0,0,0,0,0
27,Aug,7,2,8.945,4.9475,0.015,3.73,0.2525
28,Aug,7,3,9.186086957,5.889565217,0.010434783,2.977391304,0.308695652
29,Aug,8,0,0,0,0,0,0
30,Aug,8,1,0,0,0,0,0
31,Aug,8,2,8.945,4.9475,0.015,3.73,0.2525
32,Aug,8,3,9.186086957,5.889565217,0.010434783,2.977391304,0.308695652
33,Aug,9,0,0,0,0,0,0
34,Aug,9,1,0,0,0,0,0
35,Aug,9,2,8.945,4.9475,0.015,3.73,0.2525
36,Aug,9,3,9.186086957,5.889565217,0.010434783,2.977391304,0.308695652
37,Sep,10,0,0,0,0,0,0
38,Sep,10,1,0,0,0,0,0
39,Sep,10,2,6.741176471,3.396470588,0.004705882,3.094117647,0.245882353
40,Sep,10,3,8.115384615,4.626153846,0.003076923,3.147692308,0.338461538
41,Sep,11,0,0,0,0,0,0
42,Sep,11,1,0,0,0,0,0
43,Sep,11,2,6.741176471,3.396470588,0.004705882,3.094117647,0.245882353
44,Sep,11,3,8.115384615,4.626153846,0.003076923,3.147692308,0.338461538
45,Sep,12,0,0,0,0,0,0
46,Sep,12,1,0,0,0,0,0
47,Sep,12,2,6.741176471,3.396470588,0.004705882,3.094117647,0.245882353
48,Sep,12,3,8.115384615,4.626153846,0.003076923,3.147692308,0.338461538
49,Sep,13,0,0,0,0,0,0
50,Sep,13,1,0,0,0,0,0
51,Sep,13,2,6.741176471,3.396470588,0.004705882,3.094117647,0.245882353
52,Sep,13,3,8.115384615,4.626153846,0.003076923,3.147692308,0.338461538
53,Sep,14,0,0,0,0,0,0
54,Sep,14,1,0,0,0,0,0
55,Sep,14,2,6.741176471,3.396470588,0.004705882,3.094117647,0.245882353
56,Sep,14,3,8.115384615,4.626153846,0.003076923,3.147692308,0.338461538
57,Oct,15,0,0,0,0,0,0
58,Oct,15,1,3.988888889,1.657777778,0.008888889,2.064444444,0.257777778
59,Oct,15,2,5.432334242,2.432334242,0.006357856,2.736603088,0.257039055
60,Oct,15,3,0,0,0,0,0
61,Oct,16,0,0,0,0,0,0
62,Oct,16,1,3.988888889,1.657777778,0.008888889,2.064444444,0.257777778
63,Oct,16,2,5.432334242,2.432334242,0.006357856,2.736603088,0.257039055
64,Oct,16,3,0,0,0,0,0
65,Oct,17,0,0,0,0,0,0
66,Oct,17,1,3.988888889,1.657777778,0.008888889,2.064444444,0.257777778
67,Oct,17,2,5.432334242,2.432334242,0.006357856,2.736603088,0.257039055
68,Oct,17,3,0,0,0,0,0
69,Oct,18,0,0,0,0,0,0
70,Oct,18,1,3.988888889,1.657777778,0.008888889,2.064444444,0.257777778
71,Oct,18,2,5.432334242,2.432334242,0.006357856,2.736603088,0.257039055
72,Oct,18,3,0,0,0,0,0
73,Nov,19,0,2,0.46,0,1.48,0.06
74,Nov,19,1,2.761428571,1.164285714,0.004285714,1.468571429,0.124285714
75,Nov,19,2,3.671428571,1.657142857,0.005714286,1.845714286,0.162857143
76,Nov,19,3,5.66,2.86,0,2.62,0.18
77,Nov,20,0,2,0.46,0,1.48,0.06
78,Nov,20,1,2.761428571,1.164285714,0.004285714,1.468571429,0.124285714
79,Nov,20,2,3.671428571,1.657142857,0.005714286,1.845714286,0.162857143
80,Nov,20,3,5.66,2.86,0,2.62,0.18
81,Nov,21,0,2,0.46,0,1.48,0.06
82,Nov,21,1,2.761428571,1.164285714,0.004285714,1.468571429,0.124285714
83,Nov,21,2,3.671428571,1.657142857,0.005714286,1.845714286,0.162857143
84,Nov,21,3,5.66,2.86,0,2.62,0.18
85,Nov,22,0,2,0.46,0,1.48,0.06
86,Nov,22,1,2.761428571,1.164285714,0.004285714,1.468571429,0.124285714
87,Nov,22,2,3.671428571,1.657142857,0.005714286,1.845714286,0.162857143
88,Nov,22,3,5.66,2.86,0,2.62,0.18
89,Dec,23,0,1.26,0.36,0,0.83,0.07
90,Dec,23,1,1.809411765,0.68,0.002352941,1.042352941,0.084705882
91,Dec,23,2,2.91,1.901666667,0.003333333,0.883333333,0.121666667
92,Dec,23,3,0,0,0,0,0
93,Dec,24,0,1.26,0.36,0,0.83,0.07
94,Dec,24,1,1.809411765,0.68,0.002352941,1.042352941,0.084705882
95,Dec,24,2,2.91,1.901666667,0.003333333,0.883333333,0.121666667
96,Dec,24,3,0,0,0,0,0
97,Dec,25,0,1.26,0.36,0,0.83,0.07
98,Dec,25,1,1.809411765,0.68,0.002352941,1.042352941,0.084705882
99,Dec,25,2,2.91,1.901666667,0.003333333,0.883333333,0.121666667
100,Dec,25,3,0,0,0,0,0
101,Dec,26,0,1.26,0.36,0,0.83,0.07
102,Dec,26,1,1.809411765,0.68,0.002352941,1.042352941,0.084705882
103,Dec,26,2,2.91,1.901666667,0.003333333,0.883333333,0.121666667
104,Dec,26,3,0,0,0,0,0
105,Dec,27,0,1.26,0.36,0,0.83,0.07
106,Dec,27,1,1.809411765,0.68,0.002352941,1.042352941,0.084705882
107,Dec,27,2,2.91,1.901666667,0.003333333,0.883333333,0.121666667
108,Dec,27,3,0,0,0,0,0
109,Jan,28,0,0.614117647,0.137647059,0,0.476470588,0
110,Jan,28,1,1.215384615,0.470769231,0.010769231,0.733846154,0
111,Jan,28,2,5.62,4.6,0,1.02,0
112,Jan,28,3,0,0,0,0,0
113,Jan,29,0,0.614117647,0.137647059,0,0.476470588,0
114,Jan,29,1,1.215384615,0.470769231,0.010769231,0.733846154,0
115,Jan,29,2,5.62,4.6,0,1.02,0
116,Jan,29,3,0,0,0,0,0
