,Month,Week,WeatherRank,Bike_out,Customer,Daily,Subscriber,Unknown
1,Jul,1,0,10.45066667,6.690666667,0.008,3.296,0.456
2,Jul,1,1,7.869333333,4.884,0.010666667,2.594666667,0.38
3,Jul,1,2,16.14,12.96,0.02,2.48,0.68
4,Jul,1,3,0,0,0,0,0
5,Jul,2,0,10.45066667,6.690666667,0.008,3.296,0.456
6,Jul,2,1,7.869333333,4.884,0.010666667,2.594666667,0.38
7,Jul,2,2,16.14,12.96,0.02,2.48,0.68
8,Jul,2,3,0,0,0,0,0
9,Jul,3,0,10.45066667,6.690666667,0.008,3.296,0.456
10,Jul,3,1,7.869333333,4.884,0.010666667,2.594666667,0.38
11,Jul,3,2,16.14,12.96,0.02,2.48,0.68
12,Jul,3,3,0,0,0,0,0
13,Jul,4,0,10.45066667,6.690666667,0.008,3.296,0.456
14,Jul,4,1,7.869333333,4.884,0.010666667,2.594666667,0.38
15,Jul,4,2,16.14,12.96,0.02,2.48,0.68
16,Jul,4,3,0,0,0,0,0
17,Jul,5,0,10.45066667,6.690666667,0.008,3.296,0.456
18,Jul,5,1,7.869333333,4.884,0.010666667,2.594666667,0.38
19,Jul,5,2,16.14,12.96,0.02,2.48,0.68
20,Jul,5,3,0,0,0,0,0
21,Aug,6,0,9.242962963,5.647407407,0.013333333,3.28962963,0.292592593
22,Aug,6,1,8.32,5.64,0,2.375,0.305
23,Aug,6,2,0,0,0,0,0
24,Aug,6,3,0,0,0,0,0
25,Aug,7,0,9.242962963,5.647407407,0.013333333,3.28962963,0.292592593
26,Aug,7,1,8.32,5.64,0,2.375,0.305
27,Aug,7,2,0,0,0,0,0
28,Aug,7,3,0,0,0,0,0
29,Aug,8,0,9.242962963,5.647407407,0.013333333,3.28962963,0.292592593
30,Aug,8,1,8.32,5.64,0,2.375,0.305
31,Aug,8,2,0,0,0,0,0
32,Aug,8,3,0,0,0,0,0
33,Aug,9,0,9.242962963,5.647407407,0.013333333,3.28962963,0.292592593
34,Aug,9,1,8.32,5.64,0,2.375,0.305
35,Aug,9,2,0,0,0,0,0
36,Aug,9,3,0,0,0,0,0
37,Sep,10,0,8.39,4.77,0.003333333,3.278888889,0.337777778
38,Sep,10,1,5.968571429,2.451428571,0.002857143,3.351428571,0.162857143
39,Sep,10,2,7.5,5.6,0.02,1.38,0.5
40,Sep,10,3,4.95,2.315,0.005,2.415,0.215
41,Sep,11,0,8.39,4.77,0.003333333,3.278888889,0.337777778
42,Sep,11,1,5.968571429,2.451428571,0.002857143,3.351428571,0.162857143
43,Sep,11,2,7.5,5.6,0.02,1.38,0.5
