,Week,Hour,Weekday_bike_out,Weekend_bike_out
1,1,0,0.04,0.02
2,1,1,0.036,0.05
3,1,2,0.028,0
4,1,3,0.016,0
5,1,4,0.004,0
6,1,5,0.028,0.01
7,1,6,0.02,0.03
8,1,7,0.136,0.04
9,1,8,0.252,0.1
10,1,9,0.228,0.22
11,1,10,0.344,0.43
12,1,11,0.3,0.57
13,1,12,0.552,0.54
14,1,13,0.56,0.73
15,1,14,0.576,0.9
16,1,15,0.592,0.88
17,1,16,0.58,0.56
18,1,17,0.576,0.46
19,1,18,0.424,0.37
20,1,19,0.456,0.64
21,1,20,0.352,0.37
22,1,21,0.216,0.31
23,1,22,0.108,0.56
24,1,23,0.064,0.28
25,2,0,0.108,0.3
26,2,1,0.052,0.06
27,2,2,0.016,0.1
28,2,3,0.004,0.02
29,2,4,0.008,0.02
30,2,5,0.032,0.04
31,2,6,0.06,0.05
32,2,7,0.26,0.07
33,2,8,0.284,0.22
34,2,9,0.304,0.31
35,2,10,0.344,0.57
36,2,11,0.324,0.92
37,2,12,0.408,1.55
38,2,13,0.5,1.22
39,2,14,0.364,1.19
40,2,15,0.46,1.22
41,2,16,0.484,1.22
42,2,17,0.672,1.03
43,2,18,0.576,0.98
44,2,19,0.376,0.94
45,2,20,0.304,0.8
46,2,21,0.252,0.34
47,2,22,0.184,0.23
48,2,23,0.132,0.12
49,3,0,0.072,0.32
50,3,1,0.052,0.17
51,3,2,0.036,0.11
52,3,3,0.008,0.06
53,3,4,0.016,0
54,3,5,0.044,0.04
55,3,6,0.06,0.07
56,3,7,0.268,0.08
57,3,8,0.3,0.16
58,3,9,0.276,0.52
59,3,10,0.32,0.6
60,3,11,0.412,0.74
61,3,12,0.7,0.87
62,3,13,0.512,1.09
63,3,14,0.46,0.97
64,3,15,0.392,0.99
65,3,16,0.58,0.74
66,3,17,0.768,0.66
67,3,18,0.644,0.59
68,3,19,0.632,0.66
69,3,20,0.508,0.4
70,3,21,0.26,0.25
71,3,22,0.172,0.23
72,3,23,0.132,0.11
73,4,0,0.044,0.17
74,4,1,0.044,0.09
75,4,2,0.032,0.06
76,4,3,0,0.03
77,4,4,0,0
78,4,5,0.02,0.01
79,4,6,0.076,0.09
80,4,7,0.392,0.17
81,4,8,0.456,0.17
82,4,9,0.296,0.3
83,4,10,0.232,0.75
84,4,11,0.44,1.09
85,4,12,0.584,1.12
86,4,13,0.548,1.21
87,4,14,0.512,0.98
88,4,15,0.46,0.96
89,4,16,0.872,0.84
90,4,17,1.016,0.87
91,4,18,0.796,0.61
92,4,19,0.784,0.41
93,4,20,0.656,0.36
94,4,21,0.352,0.32
95,4,22,0.212,0.36
96,4,23,0.132,0.22
97,5,0,0.072,0.22
98,5,1,0.048,0.29
99,5,2,0.04,0.16
100,5,3,0.012,0.02
101,5,4,0.004,0.02
102,5,5,0.024,0.01
103,5,6,0.104,0.08
104,5,7,0.316,0.77
105,5,8,0.356,0.99
106,5,9,0.22,1.07
107,5,10,0.244,1.57
108,5,11,0.536,1.49
109,5,12,0.496,1.17
110,5,13,0.416,1.07
111,5,14,0.412,1.17
112,5,15,0.352,0.95
113,5,16,0.596,0.9
114,5,17,0.936,0.69
115,5,18,0.644,0.59
116,5,19,0.596,0.53
117,5,20,0.56,0.47
118,5,21,0.368,0.39
