"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"1","1",1000,"0",2,0
"2","1",1000,"1",0,0
"3","1",1000,"2",0,0
"4","1",1000,"3",0,0
"5","1",1000,"4",0,0
"6","1",1000,"5",0,0
"7","1",1000,"6",0,1
"8","1",1000,"7",0,0
"9","1",1000,"8",3,4
"10","1",1000,"9",0,0
"11","1",1000,"10",8,2
"12","1",1000,"11",9,5
"13","1",1000,"12",1,3
"14","1",1000,"13",4,5
"15","1",1000,"14",18,11
"16","1",1000,"15",8,13
"17","1",1000,"16",9,5
"18","1",1000,"17",7,4
"19","1",1000,"18",7,6
"20","1",1000,"19",4,0
"21","1",1000,"20",5,0
"22","1",1000,"21",2,0
"23","1",1000,"22",0,9
"24","1",1000,"23",0,6
"25","1",1001,"0",1,0
"26","1",1001,"1",0,0
"27","1",1001,"2",0,0
"28","1",1001,"3",0,0
"29","1",1001,"4",0,0
"30","1",1001,"5",0,0
"31","1",1001,"6",0,0
"32","1",1001,"7",1,0
"33","1",1001,"8",6,0
"34","1",1001,"9",1,2
"35","1",1001,"10",3,2
"36","1",1001,"11",2,0
"37","1",1001,"12",16,5
"38","1",1001,"13",9,3
"39","1",1001,"14",5,2
"40","1",1001,"15",2,2
"41","1",1001,"16",6,0
"42","1",1001,"17",8,8
"43","1",1001,"18",6,2
"44","1",1001,"19",6,6
"45","1",1001,"20",2,0
"46","1",1001,"21",1,0
"47","1",1001,"22",2,15
"48","1",1001,"23",3,5
"49","1",1002,"0",0,0
"50","1",1002,"1",0,1
"51","1",1002,"2",0,0
"52","1",1002,"3",0,0
"53","1",1002,"4",0,0
"54","1",1002,"5",0,0
"55","1",1002,"6",0,0
"56","1",1002,"7",0,0
"57","1",1002,"8",0,0
"58","1",1002,"9",0,3
"59","1",1002,"10",1,0
"60","1",1002,"11",0,0
"61","1",1002,"12",11,0
"62","1",1002,"13",1,0
"63","1",1002,"14",0,0
"64","1",1002,"15",1,3
"65","1",1002,"16",3,0
"66","1",1002,"17",0,0
"67","1",1002,"18",1,0
"68","1",1002,"19",3,2
"69","1",1002,"20",0,0
"70","1",1002,"21",2,3
"71","1",1002,"22",3,0
"72","1",1002,"23",0,0
"73","1",1003,"0",0,0
"74","1",1003,"1",0,0
"75","1",1003,"2",0,0
"76","1",1003,"3",0,0
"77","1",1003,"4",0,0
"78","1",1003,"5",0,0
"79","1",1003,"6",0,0
"80","1",1003,"7",2,0
"81","1",1003,"8",0,0
"82","1",1003,"9",0,0
"83","1",1003,"10",0,2
"84","1",1003,"11",2,2
"85","1",1003,"12",2,0
"86","1",1003,"13",8,0
"87","1",1003,"14",0,3
"88","1",1003,"15",2,3
"89","1",1003,"16",1,4
"90","1",1003,"17",5,0
"91","1",1003,"18",3,0
"92","1",1003,"19",1,2
"93","1",1003,"20",0,0
"94","1",1003,"21",0,0
"95","1",1003,"22",0,6
"96","1",1003,"23",1,2
"97","1",1004,"0",0,0
"98","1",1004,"1",0,0
"99","1",1004,"2",0,0
"100","1",1004,"3",0,0
"101","1",1004,"4",0,0
"102","1",1004,"5",0,0
"103","1",1004,"6",0,0
"104","1",1004,"7",0,0
"105","1",1004,"8",0,0
"106","1",1004,"9",1,0
"107","1",1004,"10",2,0
"108","1",1004,"11",1,0
"109","1",1004,"12",4,0
"110","1",1004,"13",1,0
"111","1",1004,"14",1,2
"112","1",1004,"15",4,3
"113","1",1004,"16",4,7
"114","1",1004,"17",15,0
"115","1",1004,"18",0,0
"116","1",1004,"19",1,0
"117","1",1004,"20",0,0
"118","1",1004,"21",0,0
"119","1",1004,"22",0,4
"120","1",1004,"23",3,0
"121","1",1005,"0",0,0
"122","1",1005,"1",0,0
"123","1",1005,"2",0,0
"124","1",1005,"3",0,0
"125","1",1005,"4",0,0
"126","1",1005,"5",0,0
"127","1",1005,"6",0,0
"128","1",1005,"7",0,0
"129","1",1005,"8",0,0
"130","1",1005,"9",0,0
"131","1",1005,"10",2,0
"132","1",1005,"11",2,0
"133","1",1005,"12",5,0
"134","1",1005,"13",0,5
"135","1",1005,"14",2,0
"136","1",1005,"15",0,5
"137","1",1005,"16",2,0
"138","1",1005,"17",5,1
"139","1",1005,"18",3,0
"140","1",1005,"19",1,0
"141","1",1005,"20",3,0
"142","1",1005,"21",0,0
"143","1",1005,"22",0,1
"144","1",1005,"23",0,2
"145","1",1006,"0",1,0
"146","1",1006,"1",0,0
"147","1",1006,"2",0,0
"148","1",1006,"3",0,0
"149","1",1006,"4",0,0
"150","1",1006,"5",0,0
"151","1",1006,"6",0,0
"152","1",1006,"7",0,0
"153","1",1006,"8",0,0
"154","1",1006,"9",0,0
"155","1",1006,"10",2,0
"156","1",1006,"11",0,0
"157","1",1006,"12",3,0
"158","1",1006,"13",1,0
"159","1",1006,"14",1,0
"160","1",1006,"15",1,0
"161","1",1006,"16",2,0
"162","1",1006,"17",6,0
"163","1",1006,"18",2,0
"164","1",1006,"19",3,0
"165","1",1006,"20",0,0
"166","1",1006,"21",0,0
"167","1",1006,"22",0,0
"168","1",1006,"23",1,0
"169","1",1007,"0",0,0
"170","1",1007,"1",0,0
"171","1",1007,"2",0,0
"172","1",1007,"3",0,0
"173","1",1007,"4",0,0
"174","1",1007,"5",0,0
"175","1",1007,"6",0,0
"176","1",1007,"7",0,0
"177","1",1007,"8",0,0
"178","1",1007,"9",0,0
"179","1",1007,"10",0,0
"180","1",1007,"11",0,0
"181","1",1007,"12",1,0
"182","1",1007,"13",0,2
"183","1",1007,"14",1,1
"184","1",1007,"15",2,0
"185","1",1007,"16",4,1
"186","1",1007,"17",4,0
"187","1",1007,"18",0,0
"188","1",1007,"19",2,1
"189","1",1007,"20",0,0
"190","1",1007,"21",2,0
"191","1",1007,"22",0,0
"192","1",1007,"23",0,4
"193","1",1008,"0",0,0
"194","1",1008,"1",1,0
"195","1",1008,"2",0,0
"196","1",1008,"3",0,0
"197","1",1008,"4",0,0
