"","Week","TemperatureRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","1","0",0,0,0,0,0
"2","1","1",0,0,0,0,0
"3","1","2",10.8133333333333,6.82,0,3.50666666666667,0.486666666666667
"4","1","3",16.14,12.96,0.02,2.48,0.68
"5","2","0",0,0,0,0,0
"6","2","1",0,0,0,0,0
"7","2","2",7.48,4.44,0.02,2.72,0.3
"8","2","3",8.68333333333333,5.97,0.0233333333333333,2.32333333333333,0.366666666666667
"9","3","0",0,0,0,0,0
"10","3","1",0,0,0,0,0
"11","3","2",10.58,6.4,0,3.46,0.72
"12","3","3",8.06666666666667,5.21333333333333,0.00333333333333333,2.42,0.43
"13","4","0",0,0,0,0,0
"14","4","1",0,0,0,0,0
"15","4","2",10.2,5.32,0,4.08,0.8
"16","4","3",9.49333333333333,6.18,0.00333333333333333,2.94,0.37
"17","5","0",0,0,0,0,0
"18","5","1",0,0,0,0,0
"19","5","2",0,0,0,0,0
"20","5","3",9.76571428571429,5.94571428571429,0.0114285714285714,3.45428571428571,0.354285714285714
"21","6","0",0,0,0,0,0
"22","6","1",0,0,0,0,0
"23","6","2",8.62,4.64,0.06,3.7,0.22
"24","6","3",9.19333333333333,5.95333333333333,0.0266666666666667,2.80333333333333,0.41
"25","7","0",0,0,0,0,0
"26","7","1",0,0,0,0,0
"27","7","2",8.38,4.14,0,3.93,0.31
"28","7","3",9.22,5.924,0.012,3.024,0.26
"29","8","0",0,0,0,0,0
"30","8","1",0,0,0,0,0
"31","8","2",14.1,11.56,0.06,2.28,0.2
"32","8","3",8.34,4.65,0.00333333333333333,3.45,0.236666666666667
"33","9","0",0,0,0,0,0
"34","9","1",0,0,0,0,0
"35","9","2",8.02,3.775,0,4,0.245
"36","9","3",10.7533333333333,7.75333333333333,0,2.62,0.38
"37","10","0",0,0,0,0,0
"38","10","1",0,0,0,0,0
"39","10","2",0,0,0,0,0
"40","10","3",7.32285714285714,3.85714285714286,0.00285714285714286,3.15142857142857,0.311428571428571
"41","11","0",0,0,0,0,0
"42","11","1",0,0,0,0,0
"43","11","2",5.45333333333333,2.94,0.0133333333333333,2.36,0.14
"44","11","3",8.71,5.81,0,2.48,0.42
"45","12","0",0,0,0,0,0
"46","12","1",0,0,0,0,0
"47","12","2",6.55333333333333,3.05333333333333,0.00666666666666667,3.24,0.253333333333333
"48","12","3",8.85,5.015,0.005,3.555,0.275
"49","13","0",0,0,0,0,0
"50","13","1",0,0,0,0,0
"51","13","2",8.66,4.51142857142857,0.00285714285714286,3.80571428571429,0.34
"52","13","3",0,0,0,0,0
"53","14","0",0,0,0,0,0
"54","14","1",4.79,2.39,0.02,2.12,0.26
"55","14","2",4.96414342629482,2.1195219123506,0,2.64940239043825,0.195219123505976
"56","14","3",0,0,0,0,0
"57","15","0",0,0,0,0,0
"58","15","1",0,0,0,0,0
