"","Week","StationId","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","1",1000,"0",17,13,0,4,0
"2","1",1000,"1",35,24.5,0,10.5,0
"3","1",1000,"2",74,64,0,10,0
"4","1",1000,"3",0,0,0,0,0
"5","1",1001,"0",32,21,0,10,1
"6","1",1001,"1",24,17,0,7,0
"7","1",1001,"2",52,45,0,7,0
"8","1",1001,"3",0,0,0,0,0
"9","1",1002,"0",10,3,0,7,0
"10","1",1002,"1",8,6.5,0,1.5,0
"11","1",1002,"2",12,11,0,1,0
"12","1",1002,"3",0,0,0,0,0
"13","1",1003,"0",9,7,0,2,0
"14","1",1003,"1",9,5.5,0,3.5,0
"15","1",1003,"2",24,23,0,1,0
"16","1",1003,"3",0,0,0,0,0
"17","1",1004,"0",22,20,0,2,0
"18","1",1004,"1",7.5,3,0,4.5,0
"19","1",1004,"2",16,16,0,0,0
"20","1",1004,"3",0,0,0,0,0
"21","1",1005,"0",12,6,0,6,0
"22","1",1005,"1",6.5,2.5,0,4,0
"23","1",1005,"2",14,14,0,0,0
"24","1",1005,"3",0,0,0,0,0
"25","1",1006,"0",11,6,0,5,0
"26","1",1006,"1",6,3.5,0,2.5,0
"27","1",1006,"2",0,0,0,0,0
"28","1",1006,"3",0,0,0,0,0
"29","1",1007,"0",3,2,0,1,0
"30","1",1007,"1",6.5,3.5,0,3,0
"31","1",1007,"2",9,6,0,1,2
"32","1",1007,"3",0,0,0,0,0
"33","1",1008,"0",6,1,0,5,0
"34","1",1008,"1",13,6,0,7,0
"35","1",1008,"2",9,7,0,2,0
"36","1",1008,"3",0,0,0,0,0
"37","1",1009,"0",4,2,0,2,0
"38","1",1009,"1",10.5,7.5,0,3,0
"39","1",1009,"2",18,14,0,4,0
"40","1",1009,"3",0,0,0,0,0
"41","1",1010,"0",20,15,0,5,0
"42","1",1010,"1",28.5,22.5,0,6,0
"43","1",1010,"2",16,16,0,0,0
"44","1",1010,"3",0,0,0,0,0
"45","1",1011,"0",10,8,0,2,0
"46","1",1011,"1",10.5,8,0,2.5,0
"47","1",1011,"2",22,14,0,8,0
"48","1",1011,"3",0,0,0,0,0
"49","1",1012,"0",6,6,0,0,0
"50","1",1012,"1",13,11.5,0,1.5,0
"51","1",1012,"2",30,30,0,0,0
"52","1",1012,"3",0,0,0,0,0
"53","1",1013,"0",12,7,0,5,0
"54","1",1013,"1",13,9,0,4,0
"55","1",1013,"2",40,35,1,3,1
"56","1",1013,"3",0,0,0,0,0
"57","1",1014,"0",9,7,0,2,0
"58","1",1014,"1",9,6.5,0,2.5,0
"59","1",1014,"2",6,4,0,2,0
"60","1",1014,"3",0,0,0,0,0
"61","1",1015,"0",4,3,0,1,0
"62","1",1015,"1",21,15.5,0,5.5,0
"63","1",1015,"2",16,13,0,3,0
"64","1",1015,"3",0,0,0,0,0
"65","1",1016,"0",15,11,0,4,0
"66","1",1016,"1",17.5,14,0,3.5,0
"67","1",1016,"2",38,36,0,2,0
"68","1",1016,"3",0,0,0,0,0
"69","1",1017,"0",18,9,0,9,0
"70","1",1017,"1",16.5,9.5,0,7,0
"71","1",1017,"2",51,47,0,4,0
"72","1",1017,"3",0,0,0,0,0
"73","1",1018,"0",13,9,0,4,0
"74","1",1018,"1",7,5,0,2,0
"75","1",1018,"2",25,21,0,4,0
"76","1",1018,"3",0,0,0,0,0
"77","1",1019,"0",16,9,0,7,0
"78","1",1019,"1",9,3,0,6,0
"79","1",1019,"2",24,21,0,3,0
"80","1",1019,"3",0,0,0,0,0
"81","1",1020,"0",10,6,0,3,1
"82","1",1020,"1",6.5,5,0,1.5,0
