"","Week","Weather.rank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","1","0",10.54,6.64,0,3.58,0.32
"2","1","1",10.95,6.91,0,3.47,0.57
"3","1","2",16.14,12.96,0.02,2.48,0.68
"4","1","3",0,0,0,0,0
"5","2","0",14.18,11.78,0,1.98,0.42
"6","2","1",7.56666666666667,4.74666666666667,0.0266666666666667,2.44666666666667,0.346666666666667
"7","2","2",0,0,0,0,0
"8","2","3",0,0,0,0,0
"9","3","0",10.56,6.90666666666667,0.00666666666666667,2.99333333333333,0.653333333333333
"10","3","1",6.825,4.24,0,2.25,0.335
"11","3","2",0,0,0,0,0
"12","3","3",0,0,0,0,0
"13","4","0",9.75333333333333,5.97,0.00333333333333333,3.35666666666667,0.423333333333333
"14","4","1",8.64,6.58,0,1.58,0.48
"15","4","2",0,0,0,0,0
"16","4","3",0,0,0,0,0
"17","5","0",10.712,6.84,0.016,3.492,0.364
"18","5","1",7.4,3.71,0,3.36,0.33
"19","5","2",0,0,0,0,0
"20","5","3",0,0,0,0,0
"21","6","0",9.74333333333333,6.26333333333333,0.0366666666666667,3.05666666666667,0.386666666666667
"22","6","1",5.32,2.78,0,2.18,0.36
"23","6","2",0,0,0,0,0
"24","6","3",0,0,0,0,0
"25","7","0",8.98,5.41428571428571,0.00857142857142857,3.28285714285714,0.274285714285714
"26","7","1",0,0,0,0,0
"27","7","2",0,0,0,0,0
"28","7","3",0,0,0,0,0
"29","8","0",9.852,5.984,0.016,3.612,0.24
"30","8","1",7.44,4.77,0,2.46,0.21
"31","8","2",0,0,0,0,0
"32","8","3",0,0,0,0,0
"33","9","0",8.54333333333333,4.68666666666667,0,3.57666666666667,0.28
"34","9","1",13.08,10.24,0,2.4,0.44
"35","9","2",0,0,0,0,0
"36","9","3",0,0,0,0,0
"37","10","0",8,5.08,0,2.64,0.28
"38","10","1",6.26,2.19,0,3.88,0.19
"39","10","2",7.5,5.6,0.02,1.38,0.5
"40","10","3",7.62,3.43,0,3.82,0.37
"41","11","0",8.71,5.81,0,2.48,0.42
"42","11","1",6.58,3.36,0.01,3.05,0.16
"43","11","2",0,0,0,0,0
"44","11","3",3.2,2.1,0.02,0.98,0.1
"45","12","0",7.92,4.34333333333333,0.00666666666666667,3.29,0.28
"46","12","1",7.54,3.16,0,4.2,0.18
"47","12","2",0,0,0,0,0
"48","12","3",0,0,0,0,0
"49","13","0",8.66,4.51142857142857,0.00285714285714286,3.80571428571429,0.34
"50","13","1",0,0,0,0,0
"51","13","2",0,0,0,0,0
"52","13","3",0,0,0,0,0
"53","14","0",7.42574257425743,3.68316831683168,0,3.3960396039604,0.346534653465347
"54","14","1",4.91333333333333,1.90666666666667,0.00666666666666667,2.80666666666667,0.193333333333333
"55","14","2",3.4,1.96,0.02,1.22,0.2
"56","14","3",1.36,0.3,0,1.04,0.02
"57","15","0",6.6,3.316,0.008,2.972,0.304
"58","15","1",5.51,2.06,0.01,3.22,0.22
"59","15","2",0,0,0,0,0
"60","15","3",0,0,0,0,0
"61","16","0",5.46857142857143,2.50857142857143,0.0142857142857143,2.66857142857143,0.277142857142857
"62","16","1",0,0,0,0,0
"63","16","2",0,0,0,0,0
"64","16","3",0,0,0,0,0
"65","17","0",4.7,1.83666666666667,0,2.59333333333333,0.27
"66","17","1",4.32,2.68,0,1.5,0.14
"67","17","2",0,0,0,0,0
"68","17","3",0,0,0,0,0
"69","18","0",3.728,1.564,0.004,1.924,0.236
"70","18","1",4.04,1.26,0,2.56,0.22
"71","18","2",1.48,0.2,0,1.24,0.04
"72","18","3",0,0,0,0,0
"73","19","0",4.67666666666667,2.28666666666667,0,2.20333333333333,0.186666666666667
"74","19","1",3.7,1.72,0,1.78,0.2
"75","19","2",0,0,0,0,0
"76","19","3",0,0,0,0,0
"77","20","0",3.576,1.464,0.012,1.9,0.2
"78","20","1",0,0,0,0,0
"79","20","2",3.74,1.18,0.04,2.32,0.2
"80","20","3",1.18,0.24,0,0.86,0.08
"81","21","0",3.74285714285714,1.56857142857143,0.00571428571428571,2.04857142857143,0.12
"82","21","1",0,0,0,0,0
"83","21","2",0,0,0,0,0
"84","21","3",0,0,0,0,0
"85","22","0",2.28333333333333,1.08,0,1.1,0.103333333333333
"86","22","1",0,0,0,0,0
"87","22","2",0.6,0.34,0,0.22,0.04
"88","22","3",0,0,0,0,0
"89","23","0",1.94666666666667,0.54,0,1.32666666666667,0.08
"90","23","1",2.38,1.22,0,1,0.16
"91","23","2",1.26666666666667,0.38,0,0.8,0.0866666666666667
"92","23","3",0,0,0,0,0
"93","24","0",4.66,3.028,0,1.408,0.224
"94","24","1",2.4,0.48,0,1.7,0.22
"95","24","2",2.38,1.44,0.04,0.8,0.1
"96","24","3",0,0,0,0,0
"97","25","0",3.44,1.82666666666667,0,1.42,0.193333333333333
"98","25","1",1.48,0.31,0,1.09,0.08
"99","25","2",1.11,0.29,0,0.75,0.07
"100","25","3",0,0,0,0,0
"101","26","0",1.28,0.685,0.005,0.565,0.025
"102","26","1",1.78666666666667,1.14666666666667,0.00666666666666667,0.62,0.0133333333333333
"103","26","2",0,0,0,0,0
"104","26","3",0,0,0,0,0
"105","27","0",0.924,0.42,0,0.488,0.016
"106","27","1",0.68,0.16,0,0.52,0
"107","27","2",0.52,0.3,0,0.22,0
"108","27","3",0,0,0,0,0
"109","28","0",0.96,0.286666666666667,0,0.673333333333333,0
"110","28","1",1.285,0.615,0.005,0.665,0
"111","28","2",0,0,0,0,0
"112","28","3",0,0,0,0,0
"113","29","0",0.945,0.24,0,0.705,0
"114","29","1",1,0.26,0.12,0.62,0
"115","29","2",0,0,0,0,0
"116","29","3",0.47,0.19,0,0.28,0
"117","30","0",0.5,0.1,0,0.4,0
